participantRole,condition,fairness.new.,fairness,guesstimate.new._1,feedback..new.,Q94,Q95,Q129,Q96,Q128,Q131,timeOutLog,chatLog
Player4-Republican,3,3,2,10,I don't see how it is blind when they obviously picked the easier study to take.,I am not sure.,1,NA,1,NA,"Nothing else to add, thank you.",OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello
<br>Player3-Democrat: Hello all
<br>Player1-Democrat: afternoon
<br>Player4-Republican: hi
<br>Player3-Democrat: I found it hard to estimate the number of dots personally but I always overestimate everything so I'm not surprised
<br>Player2-Republican: I thought it was hard because of the limited amount of time
<br>Player1-Democrat: the lack of definable pattern on mine made it difficult
<br>Player1-Democrat: tiem was also an issue for me
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: i usually underestimate because i am horrible at counting things quickly
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player2-Republican,1,NA,NA,NA,NA,Perceptions of groups and fairness.,1,NA,2,"I think the researchers had a hypothesis and designed the experiment around this, using somewhat misleading information on how tasks would be assigned.",NA,OK -- no issues," *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player1-Democrat: Hi
<br>Player4-Republican: Hey
<br>Player4-Republican: I was expecting to have more time to count
<br>Player2-Republican: Hello estimators....
<br>Player4-Republican: it was rather quick
<br>Player3-Democrat: ewwwwwwww Republicans! 😩
<br>Player3-Democrat: 88 for me 
<br>Player4-Republican: i said 60
<br>Player2-Republican: I guessed 75
<br>Player1-Democrat: I said 45
<br>Player4-Republican: hey repubplican :)
<br>Player3-Democrat: i won
<br> *** Player4-Republican has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: lol
<br>"
Player4-Republican,3,1,5,10,no,how people will disperse workload knowing one is more intense than the other,1,NA,1,NA,NA,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player4-Republican: whats uo
<br>Player4-Republican: whats uo
<br>Player2-Republican: hi
<br>Player1-Democrat: Hi
<br>Player4-Republican: my picture had so many dots
<br>Player4-Republican: my picture had so many dots
<br>Player1-Democrat: Mine did too
<br>Player4-Republican: couldnt count them lol
<br>Player4-Republican: couldnt count them lol
<br>Player1-Democrat: Honestly I just made my best guess and then moved on
<br>Player4-Republican: fr
<br>Player4-Republican: fr
<br> *** Player1-Democrat has left the chat ***
<br>"
Player1-Democrat,1,NA,NA,NA,NA,people's bias towards others,1,NA,4,NA,NA,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player2-Republican: Hi
<br>Player3-Democrat: Hi
<br>Player1-Democrat: Hello!
<br>Player3-Democrat: It went really fast so it was hard to guess how many there were
<br>Player4-Republican: I dont know why they put political groups. I mean, HI!
<br>Player3-Democrat: LOL
<br>Player2-Republican: Yes , i agree that was challenging
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player3-Democrat,2,1,5,10,no,To see how likely people are to assign themselves the easier tasks based on political affiliation.,1,NA,1,NA,no!,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player2-Republican: Hi
<br>Player3-Democrat: Hi
<br>Player1-Democrat: Hello!
<br>Player3-Democrat: It went really fast so it was hard to guess how many there were
<br>Player4-Republican: I dont know why they put political groups. I mean, HI!
<br>Player3-Democrat: LOL
<br>Player2-Republican: Yes , i agree that was challenging
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player1-Democrat,2,1,3,3,no,Its about chatting and sharing opinions and counting dots and politics.,1,NA,1,NA,no,OK -- no issues," *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player1-Democrat: Hi
<br>Player4-Republican: Hey
<br>Player4-Republican: I was expecting to have more time to count
<br>Player2-Republican: Hello estimators....
<br>Player4-Republican: it was rather quick
<br>Player3-Democrat: ewwwwwwww Republicans! 😩
<br>Player3-Democrat: 88 for me 
<br>Player4-Republican: i said 60
<br>Player2-Republican: I guessed 75
<br>Player1-Democrat: I said 45
<br>Player4-Republican: hey repubplican :)
<br>Player3-Democrat: i won
<br> *** Player4-Republican has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: lol
<br> *** Player1-Democrat has left the chat ***
<br>"
Player4-Republican,4,2,4,1,no,to see how someone would react to being  chosen for the hard task?,1,NA,1,NA,thanks for including me in your research,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello!
<br>Player1-Democrat: hello
<br>Player2-Republican: How's it going
<br>Player3-Democrat: hey
<br>Player4-Republican: there were so many dots lol
<br>Player1-Democrat: good, you?
<br>Player2-Republican: I guess I am a total underestimator lol. Good thanks!
<br>Player4-Republican: i overestimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>"
Player3-Democrat,4,3,4,8,The green task seems easier to me,"Not sure, maybe if people want an easier task or not?",1,NA,1,NA,Thanks,OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player1-Democrat: lol
<br>Player3-Democrat: hey
<br>Player2-Republican: I just guessed
<br>Player3-Democrat: me too
<br>Player4-Republican: hiim an over i guessed 150 u guys?
<br>Player2-Republican: I guessed 100
<br>Player1-Democrat: Nice names
<br> *** Player1-Democrat has left the chat ***
<br>Player3-Democrat: I under estimated
<br>"
Player4-Republican,1,NA,NA,NA,NA,Unsure,1,NA,4,NA,The chat session was rather rushed so I felt trying to chat and then answer the questions about it was not properly done as I feel I could have done.,OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player1-Democrat: Hello
<br>Player2-Republican: Hello everyone
<br>Player3-Democrat: Hi Everyone 
<br>Player4-Republican: Well I found out I'm an overestimator.
<br>Player2-Republican: I was labeled over esimater
<br>Player1-Democrat: Same I am as well
<br>Player3-Democrat: The task was simple and straight to the point, I felt it was hard to because of how quickly it flashed 
<br>Player2-Republican: I always hought of myself as an under estimater
<br>Player1-Democrat: I agree
<br>Player4-Republican: There was a lot to take in.
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player2-Republican: I agree not much time to cout
<br>"
Player4-Republican,3,2,3,8,I would have randomized it.,Personality traits and political identity.,1,NA,2,Because I wasn't assigned a task I believe they weren't either.,be well,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player2-Republican: Hi
<br>Player3-Democrat: Hi
<br>Player1-Democrat: Hello!
<br>Player3-Democrat: It went really fast so it was hard to guess how many there were
<br>Player4-Republican: I dont know why they put political groups. I mean, HI!
<br>Player3-Democrat: LOL
<br>Player2-Republican: Yes , i agree that was challenging
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player1-Democrat,4,3,4,10,I don't believe that it's true.,"I'm not sure, the survey/experiment was all over the place.",2,It just seemed too random,2,I'm sure the experiment was chosen to have me do the red 20 minute task to gauge my reaction.,none,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player4-Republican: I would have liked to see the dots a bit longer.
<br>Player1-Democrat: I didn't think it was hard to estimate, but apparently I did. 
<br>Player2-Republican: The experience was frivolous.
<br>Player3-Democrat: Not sure how I feel about being an overestimator. It was a bit tricky trying to complete the task accurately.
<br>Player1-Democrat: I agree player 2
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player1-Democrat,2,1,3,6,the randomizer would have been more fair,to see how the group members make decisions,1,NA,1,NA,NA,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player3-Democrat: Hi everyone 
<br>Player4-Republican: Hello! 
<br>Player1-Democrat: Hi
<br>Player2-Republican: It was tricky.
<br>Player2-Republican: Hello
<br>Player3-Democrat: Yea it was difficult
<br>Player2-Republican: There were large and small dots.
<br>Player1-Democrat: i guessed too low
<br>Player4-Republican: It was, I was an underestimater... 
<br>Player2-Republican: I guessed too high
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>"
Player3-Democrat,1,NA,NA,NA,NA,To see if people act fairly or selfishly when presented with two pretty different tasks,1,NA,4,NA,NA,OK -- no issues," *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br>Player4-Republican: hi everybody
<br>Player3-Democrat: hello
<br>Player1-Democrat: I hyper fixated on the large dots... my bad.
<br>Player2-Republican: Howdy, I am an overestimater I guess. 
<br>Player4-Republican: hah-i just took a wid guess
<br>Player3-Democrat: I kinda counted a corner in the time given and then just guessed more or less
<br>Player4-Republican: wild
<br> *** Player2-Republican has left the chat ***
<br>"
Player3-Democrat,3,2,4,8,No,I really have no idea,1,NA,1,NA,NA,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br>Player4-Republican: Well I underestimated again. 
<br>Player3-Democrat: I guessed 265. My brain had no idea. 
<br>Player1-Democrat: I did 102.
<br>Player4-Republican: ha I was at 80
<br>Player2-Republican: Welcome from an overestimater from North Carolina
<br>Player1-Democrat: It was pretty difficult in my opinion.
<br>Player3-Democrat: Wow you really underestimated lol. I though I’d be over 
<br> *** Player3-Democrat has left the chat ***
<br>"
Player4-Republican,1,NA,NA,NA,NA,To see if people would be fair even when it's regarding someone who leans a different way politically.,1,NA,4,NA,No.,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br>Player3-Democrat: Y'all over or underestimators? Lol
<br>Player2-Republican: What do you think about being an underestimator?
<br>Player4-Republican: It was hard to guess the amount! I overestimated!
<br>Player1-Democrat: Hi, y'all. How is everyone? I'm an overestimator.
<br>Player2-Republican: I am underministator.
<br>Player3-Democrat: I was an under estimator.
<br> *** Player3-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>"
Player2-Republican,2,1,2,10,If you allow someone to choose to do less work and get paid the same they are going to choose to do that.,To see how people feel about an unfair situation.,1,NA,1,NA,NA,OK -- no issues," *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br>Player4-Republican: hi everybody
<br>Player3-Democrat: hello
<br>Player1-Democrat: I hyper fixated on the large dots... my bad.
<br>Player2-Republican: Howdy, I am an overestimater I guess. 
<br>Player4-Republican: hah-i just took a wid guess
<br>Player3-Democrat: I kinda counted a corner in the time given and then just guessed more or less
<br>Player4-Republican: wild
<br> *** Player2-Republican has left the chat ***
<br>"
Player3-Democrat,1,NA,NA,NA,NA,"I have no idea, but maybe you want to test people's acts of fairness...",1,NA,4,NA,No.,OK -- no issues," *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player1-Democrat: Hi
<br>Player4-Republican: Hey
<br>Player4-Republican: I was expecting to have more time to count
<br>Player2-Republican: Hello estimators....
<br>Player4-Republican: it was rather quick
<br>Player3-Democrat: ewwwwwwww Republicans! 😩
<br>Player3-Democrat: 88 for me 
<br>Player4-Republican: i said 60
<br>Player2-Republican: I guessed 75
<br>Player1-Democrat: I said 45
<br>Player4-Republican: hey repubplican :)
<br>Player3-Democrat: i won
<br> *** Player4-Republican has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: lol
<br> *** Player1-Democrat has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br>"
Player4-Republican,3,2,6,7,NA,is a person selfish and take the easy route?,2,seemed to be canned responses,2,not too likely the leader would choose the hardest task,no,OK -- no issues," *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br>Player4-Republican: hi everybody
<br>Player3-Democrat: hello
<br>Player1-Democrat: I hyper fixated on the large dots... my bad.
<br>Player2-Republican: Howdy, I am an overestimater I guess. 
<br>Player4-Republican: hah-i just took a wid guess
<br>Player3-Democrat: I kinda counted a corner in the time given and then just guessed more or less
<br>Player4-Republican: wild
<br> *** Player2-Republican has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player2-Republican,3,1,4,10,N/A,I'm not sure.,1,NA,1,NA,N/A,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player3-Democrat: Hi everyone 
<br>Player4-Republican: Hello! 
<br>Player1-Democrat: Hi
<br>Player2-Republican: It was tricky.
<br>Player2-Republican: Hello
<br>Player3-Democrat: Yea it was difficult
<br>Player2-Republican: There were large and small dots.
<br>Player1-Democrat: i guessed too low
<br>Player4-Republican: It was, I was an underestimater... 
<br>Player2-Republican: I guessed too high
<br> *** Player3-Democrat has left the chat ***
<br>"
Player2-Republican,2,2,7,5,no,"I have no idea, nor do I guess at such, because they literally can be about anything.",2,I have no reason to believe that I was.,2,"I don't know, just have no belief there were other participants.",A financial crash is coming.,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player4-Republican: I would have liked to see the dots a bit longer.
<br>Player1-Democrat: I didn't think it was hard to estimate, but apparently I did. 
<br>Player2-Republican: The experience was frivolous.
<br>Player3-Democrat: Not sure how I feel about being an overestimator. It was a bit tricky trying to complete the task accurately.
<br>Player1-Democrat: I agree player 2
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>"
Player2-Republican,3,1,6,8,none,no idea,1,NA,1,NA,NA,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player2-Republican: Hi
<br>Player3-Democrat: Hi
<br>Player1-Democrat: Hello!
<br>Player3-Democrat: It went really fast so it was hard to guess how many there were
<br>Player4-Republican: I dont know why they put political groups. I mean, HI!
<br>Player3-Democrat: LOL
<br>Player2-Republican: Yes , i agree that was challenging
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>"
Player2-Republican,1,NA,NA,NA,NA,To see if how fair minded most people are,1,NA,1,NA,Im grateful but its hard to understand why you would pay this amount of money for such a short task. I would love to know why if im allowed to know or if you even read this stuff i have found most researchers do not read what people write so i stopped wasting my time.,OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player1-Democrat: Hello
<br>Player2-Republican: Hello everyone
<br>Player3-Democrat: Hi Everyone 
<br>Player4-Republican: Well I found out I'm an overestimator.
<br>Player2-Republican: I was labeled over esimater
<br>Player1-Democrat: Same I am as well
<br>Player3-Democrat: The task was simple and straight to the point, I felt it was hard to because of how quickly it flashed 
<br>Player2-Republican: I always hought of myself as an under estimater
<br>Player1-Democrat: I agree
<br>Player4-Republican: There was a lot to take in.
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player2-Republican: I agree not much time to cout
<br>"
Player3-Democrat,4,2,5,9,No,Really wasn't sure,1,NA,1,NA,No,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player4-Republican: I would have liked to see the dots a bit longer.
<br>Player1-Democrat: I didn't think it was hard to estimate, but apparently I did. 
<br>Player2-Republican: The experience was frivolous.
<br>Player3-Democrat: Not sure how I feel about being an overestimator. It was a bit tricky trying to complete the task accurately.
<br>Player1-Democrat: I agree player 2
<br> *** Player3-Democrat has left the chat ***
<br>"
Player4-Republican,4,1,6,9,NA,How one may change their actions depending on if they are a republican or democrat.,1,NA,1,NA,Good luck with study,OK -- no issues," *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player1-Democrat: Hi
<br>Player4-Republican: Hey
<br>Player4-Republican: I was expecting to have more time to count
<br>Player2-Republican: Hello estimators....
<br>Player4-Republican: it was rather quick
<br>Player3-Democrat: ewwwwwwww Republicans! 😩
<br>Player3-Democrat: 88 for me 
<br>Player4-Republican: i said 60
<br>Player2-Republican: I guessed 75
<br>Player1-Democrat: I said 45
<br>Player4-Republican: hey repubplican :)
<br>Player3-Democrat: i won
<br> *** Player4-Republican has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: lol
<br>"
Player1-Democrat,2,1,6,4,no,Something about partisan divides and trust?,2,The interaction did not feel real,2,It seems as if they never are in these studies.,Nope,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player4-Republican: whats uo
<br>Player4-Republican: whats uo
<br>Player2-Republican: hi
<br>Player1-Democrat: Hi
<br>Player4-Republican: my picture had so many dots
<br>Player4-Republican: my picture had so many dots
<br>Player1-Democrat: Mine did too
<br>Player4-Republican: couldnt count them lol
<br>Player4-Republican: couldnt count them lol
<br>Player1-Democrat: Honestly I just made my best guess and then moved on
<br>Player4-Republican: fr
<br>Player4-Republican: fr
<br> *** Player1-Democrat has left the chat ***
<br>"
