StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific_id,Q138,Q145,match timer_First Click,match timer_Last Click,match timer_Page Submit,match timer_Click Count,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q28,get timer_First Click,get timer_Last Click,get timer_Page Submit,get timer_Click Count,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q83,Q87,Q90_1_x,Q90_1_y,Q90,Q91,attn_check,Q147_First Click,Q147_Last Click,Q147_Page Submit,Q147_Click Count,Q55_First Click,Q55_Last Click,Q55_Page Submit,Q55_Click Count,Q57_First Click,Q57_Last Click,Q57_Page Submit,Q57_Click Count,Q20,Q100_First Click,Q100_Last Click,Q100_Page Submit,Q100_Click Count,Q84,Q141,Q142,Q143_1,Q144,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q140_First Click,Q140_Last Click,Q140_Page Submit,Q140_Click Count,fairness(new),Q31,guesstimate(new)_1,feedback (new),Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Q76_First Click,Q76_Last Click,Q76_Page Submit,Q76_Click Count,Q77_First Click,Q77_Last Click,Q77_Page Submit,Q77_Click Count,Q78_First Click,Q78_Last Click,Q78_Page Submit,Q78_Click Count,Q94,Q95,Q129,Q96,Q128,desktop,desktop_4_TEXT,Q131,age,gender,gender_5_TEXT,ethnicity,pol_or,Q102,Q103,researcherID,studyID,Create New Field or Choose From Dropdown...,groupID,participantID,groupSize,numStages,roles,participantRole,timeOutLog,maxWaitTime,id,botMatch,matchAlert,participantStatus,sendData,sendStage,getStage,getData,saveData,getWaitText,freezeTime,chatLog,chatDuration,chatName,chatWindowWidth,chatWindowHeight,chatInstructions
2023-06-07 14:36:07,2023-06-07 14:53:36,0,24.61.208.136,100,1048,1,2023-06-07 14:53:36,R_2sb8pQ83VglDPlu,,,,,41.7599,-72.7574,anonymous,EN,1,62f32d1cd0736183ffe64dc7,1,1,0,0,86.038,0,0,0,3.115,0,100,0,0,0.506,0,0,0,21.343,0,1,4,382,242,Region #1,16,3,0,0,12.429,0,0,0,263.75,0,0,0,25.007,0,,,,,,,,,,,0,0,15.106,0,0,0,4.19,0,3,4,10,,,,,,,,,,,,,,,,,,"i don't know ",1,,1,,1,,,13,3,,4,2,1,1,6392NwKkvp,Study1_MoHi10,,100,R_2sb8pQ83VglDPlu,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player2-Underestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player1-Overestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br> *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player1-Overestimator: hi all
<br>Player3-Overestimator: hi
<br>Player2-Underestimator: hello 
<br>Player4-Underestimator: hi everyone
<br>Player1-Overestimator: what did you think of the estimation task?
<br>Player4-Underestimator: are you an over or underestimator
<br>Player3-Overestimator: I was over
<br>Player2-Underestimator: under
<br>Player1-Overestimator: i kinda just guessed at it
<br>Player4-Underestimator: i thought it was fun, i noticed it seemed true
<br> *** Player1-Overestimator has left the chat ***
<br> *** Player3-Overestimator has left the chat ***
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br>",,chatLog,,,
2023-06-07 14:43:07,2023-06-07 14:53:50,0,67.181.25.190,100,643,1,2023-06-07 14:53:51,R_2Y9CsgDN7gRz9he,,,,,38.6967,-121.313,anonymous,EN,1,63d803fe12fac7c6d3d14012,1,1,16.826,16.826,38.728,1,0,0,3.117,0,75,0,0,69.034,0,0,0,21.233,0,1,3,721,261,Region #2,17,3,0,0,7.206,0,0,0,12.276,0,0,0,25.011,0,,,,,,,,,,,,,,,0,0,11.269,0,2,3,10,no,0,0,15.117,0,,,,,,,,,,,,,Group loyalty and groupthink,1,,1,,1,,,20,1,,7,1,1,1,6392NwKkvp,Study1_MoHi10,,101,R_2Y9CsgDN7gRz9he,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player4-Underestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br>Player4-Underestimator: I found it sort of difficult
<br>Player4-Underestimator: Thus I am now an underestimator.
<br>Player2-Underestimator: I tried to count them even though I knew there wouldn't be enough time
<br>Player4-Underestimator: All hail the estimators. 
<br>Player1-Overestimator: Same here
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player1-Overestimator has left the chat ***
<br>",,chatLog,,,
2023-06-07 14:38:44,2023-06-07 14:53:59,0,173.63.100.104,100,914,1,2023-06-07 14:53:59,R_1DMC24gydqSmvwu,,,,,40.8137,-74.1234,anonymous,EN,1,5a25f3d5564bdf0001646007,1,1,0,0,44.215,0,0,0,3.116,0,52,0,0,54.307,0,0,0,35.857,0,1,4,131,211,Region #1,14,3,0,0,44.61,0,0,0,22.897,0,0,0,25.007,0,,,,,,,,,,,,,,,0,0,6.411,0,1,5,9,It will be difficult to get people to select the Randomization option if the tasks are 8 min vs 20 min in length,0,0,15.006,0,,,,,,,,,,,,,"To perceive individual choices, if people would be fair or not, or perceive it as such",1,,2,"The font was different in the recording, that's my only tip off.",1,,The thought of the 20 min red task stressed me out! You got me good.,22,2,,7,3,1,1,6392NwKkvp,Study1_MoHi10,,100,R_1DMC24gydqSmvwu,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player1-Overestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player1-Overestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br> *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player1-Overestimator: hi all
<br>Player3-Overestimator: hi
<br>Player2-Underestimator: hello 
<br>Player4-Underestimator: hi everyone
<br>Player1-Overestimator: what did you think of the estimation task?
<br>Player4-Underestimator: are you an over or underestimator
<br>Player3-Overestimator: I was over
<br>Player2-Underestimator: under
<br>Player1-Overestimator: i kinda just guessed at it
<br>Player4-Underestimator: i thought it was fun, i noticed it seemed true
<br> *** Player1-Overestimator has left the chat ***
<br> *** Player3-Overestimator has left the chat ***
<br>",,chatLog,,,
2023-06-07 14:43:54,2023-06-07 14:54:04,0,24.167.49.116,100,609,1,2023-06-07 14:54:04,R_1GHBuNI008zAJFe,,,,,26.2823,-98.1825,anonymous,EN,1,631f1b39c8bbf761fd66c863,1,1,0,0,47.018,0,0,0,3.113,0,70,0,0,41.93,0,0,0,25.08,0,1,4,598,212,Region #2,15,3,0,0,12.084,0,0,0,15.992,0,0,0,25.009,0,2,17.395,17.395,19.053,1,,1,6,7,No feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How people make decisions,1,,2,I did not see the screen recording,1,,No additional comments,15,1,,4,2,1,1,6392NwKkvp,Study1_MoHi10,,102,R_1GHBuNI008zAJFe,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player4-Underestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br>Player4-Underestimator: Hi
<br>Player1-Overestimator: it was pretty hard cause i kept looking at the top and bottom 
<br>Player1-Overestimator: hello
<br>Player3-Overestimator: hlw
<br>Player2-Underestimator: It only gave us like 5 seconds
<br>Player1-Overestimator: yeah exactly
<br>Player4-Underestimator: i only really focused on a corner of the image lol
<br>Player3-Overestimator: Yes it's hard
<br>Player4-Underestimator: yeah it went by so fast
<br>Player1-Overestimator: the big dots too messed me up
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br>",,chatLog,,,
2023-06-07 14:40:17,2023-06-07 14:55:24,0,174.45.135.136,100,907,1,2023-06-07 14:55:25,R_2EuHq5JBGIvtyZz,,,,,41.3053,-105.5899,anonymous,EN,1,60fd7f2e69e5a781cb3ef542,1,1,0,0,192.499,0,0,0,3.014,0,40,0,0,88.314,0,0,0,23.567,0,1,4,573,348,Region #2,15,3,9.059,9.059,9.885,1,0,0,28.283,0,0,0,25.131,0,,,,,,,,,,,0,0,15.117,0,0,0,4.728,0,3,2,10,,,,,,,,,,,,,,,,,,To see if people will believe what they are told during experiments.,2,Any part of that could've been made up and I can't believe there would be people filling out the exact same survey as me at the same time.,2,It just didn't seem like a person who's actually filling out one of these surveys would behave.,1,,,14,2,,7,1,1,1,6392NwKkvp,Study1_MoHi10,,101,R_2EuHq5JBGIvtyZz,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player1-Overestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br>Player4-Underestimator: I found it sort of difficult
<br>Player4-Underestimator: Thus I am now an underestimator.
<br>Player2-Underestimator: I tried to count them even though I knew there wouldn't be enough time
<br>Player4-Underestimator: All hail the estimators. 
<br>Player1-Overestimator: Same here
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player1-Overestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br>",,chatLog,,,
2023-06-07 14:44:16,2023-06-07 14:55:49,0,75.216.129.97,100,693,1,2023-06-07 14:55:51,R_3iFpR5P47WwzrhV,,,,,37.751,-97.822,anonymous,EN,1,5fc2a5c0ddfca10169395662,1,1,0,0,9.936,0,0,0,3.016,0,75,0,0,39.778,0,0,0,21.669,0,1,4,869,54,Region #2,14,3,0,0,7.932,0,0,0,19.563,0,2.368,2.368,25.114,1,,,,,,,,,,,,,,,0,0,7.225,0,2,3,8,N/A,,,,,0,0,15.109,0,,,,,,,,,"To see if individuals would assign themselves an easier task than someone else ",1,,1,,1,,N/A,33,2,,7,2,1,1,6392NwKkvp,Study1_MoHi10,,102,R_3iFpR5P47WwzrhV,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player2-Underestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br>Player4-Underestimator: Hi
<br>Player1-Overestimator: it was pretty hard cause i kept looking at the top and bottom 
<br>Player1-Overestimator: hello
<br>Player3-Overestimator: hlw
<br>Player2-Underestimator: It only gave us like 5 seconds
<br>Player1-Overestimator: yeah exactly
<br>Player4-Underestimator: i only really focused on a corner of the image lol
<br>Player3-Overestimator: Yes it's hard
<br>Player4-Underestimator: yeah it went by so fast
<br>Player1-Overestimator: the big dots too messed me up
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br> *** Player1-Overestimator has left the chat ***
<br>",,chatLog,,,
2023-06-07 14:43:07,2023-06-07 14:57:03,0,47.151.3.110,100,836,1,2023-06-07 14:57:04,R_3oYh9LWnURA1EKd,,,,,33.7518,-117.9932,anonymous,EN,1,5c947ee4cde5b30001d2d4d0,1,1,0,0,47.624,0,0,0,3.119,0,110,0,0,53.436,0,0,0,27.583,0,1,4,155,156,Region #1,15,3,0,0,7.398,0,0,0,12.252,0,0,0,25.008,0,2,7.371,7.371,17.478,1,,2,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,to see if people choose an easier task or leave it to others,1,,1,,1,,,14,2,,2,3,1,1,6392NwKkvp,Study1_MoHi10,,102,R_3oYh9LWnURA1EKd,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player1-Overestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br>Player4-Underestimator: Hi
<br>Player1-Overestimator: it was pretty hard cause i kept looking at the top and bottom 
<br>Player1-Overestimator: hello
<br>Player3-Overestimator: hlw
<br>Player2-Underestimator: It only gave us like 5 seconds
<br>Player1-Overestimator: yeah exactly
<br>Player4-Underestimator: i only really focused on a corner of the image lol
<br>Player3-Overestimator: Yes it's hard
<br>Player4-Underestimator: yeah it went by so fast
<br>Player1-Overestimator: the big dots too messed me up
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br> *** Player1-Overestimator has left the chat ***
<br>",,chatLog,,,
2023-06-07 14:42:10,2023-06-07 14:58:51,0,104.11.112.81,100,1000,1,2023-06-07 14:58:52,R_qF00KrqRlMJ0MOl,,,,,29.7646,-95.3657,anonymous,EN,1,5c17a9fbfeaf2c0001c4b19a,1,1,0,0,51.124,0,0,0,3.008,0,50,0,0,0.673,0,0,0,24.511,0,1,4,438,300,Region #1,17,3,0,0,20.347,0,0,0,21.056,0,0,0,25.11,0,,,,,,,,,,,,,,,0,0,11.479,0,1,6,8,No,,,,,,,,,0,0,15.006,0,,,,,ore about how people perform mental rotation tasks,1,,1,,1,,No,20,1,,7,6,1,1,6392NwKkvp,Study1_MoHi10,,102,R_qF00KrqRlMJ0MOl,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player3-Overestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br>Player4-Underestimator: Hi
<br>Player1-Overestimator: it was pretty hard cause i kept looking at the top and bottom 
<br>Player1-Overestimator: hello
<br>Player3-Overestimator: hlw
<br>Player2-Underestimator: It only gave us like 5 seconds
<br>Player1-Overestimator: yeah exactly
<br>Player4-Underestimator: i only really focused on a corner of the image lol
<br>Player3-Overestimator: Yes it's hard
<br>Player4-Underestimator: yeah it went by so fast
<br>Player1-Overestimator: the big dots too messed me up
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br> *** Player1-Overestimator has left the chat ***
<br> *** Player3-Overestimator has left the chat ***
<br>",,chatLog,,,
2023-06-07 14:44:31,2023-06-07 14:58:59,0,73.170.233.216,100,868,1,2023-06-07 14:59:00,R_We1OIgwxWR1dCg1,,,,,37.3083,-121.9643,anonymous,EN,1,5bf5f40635087500014257fe,1,1,0,0,145.346,0,0,0,3.013,0,57,0,0,247.85,0,0,0,21.377,0,1,2,861,231,Region #2,15,3,0,0,7.976,0,0,0,15.294,0,0,0,25.011,0,1,9.778,9.778,16.351,1,1,2,5,10,no.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"too many confusing things, not sure.",2,no one answered or talked.,2,i was the one selecting,1,,no.,31,2,,7,4,1,1,6392NwKkvp,Study1_MoHi10,,103,R_We1OIgwxWR1dCg1,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player2-Underestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player4-Underestimator: I just did a cursory count of how many dots were in an approximate area and multiplied it. 
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br>",,chatLog,,,
2023-06-07 14:51:14,2023-06-07 15:00:36,0,73.170.172.47,100,562,1,2023-06-07 15:00:37,R_24oTAuasQSNtaO3,,,,,36.9689,-121.9903,anonymous,EN,1,5e69ce2076c4680330657fd6,1,1,0,0,8.355,0,0,0,3.113,0,70,0,0,76.125,0,0,0,21.195,0,1,4,770,290,Region #2,15,3,0,0,7.228,0,0,0,11.088,0,0,0,25.051,0,,,,,,,,,,,,,,,0,0,2.726,0,1,3,10,no,,,,,,,,,0,0,15.01,0,,,,,To see if people will choose the easier tasks with shorter time commitments for themselves,1,,1,,1,,no,24,2,,7,2,1,1,6392NwKkvp,Study1_MoHi10,,104,R_24oTAuasQSNtaO3,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player2-Underestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br>Player1-Overestimator: HI
<br>Player1-Overestimator: Hi
<br>Player3-Overestimator: hello!
<br>Player2-Underestimator: I am always bad at stuff like this. I had no idea how many dots there were.
<br>Player4-Underestimator: Hi! It was hard to estimate
<br>Player3-Overestimator: I thought it was especially hard because we were given so little time to look at the picture
<br>Player1-Overestimator: Welcome to the group.
<br>Player2-Underestimator: I agree. All the dots were diff sizes too!
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br> *** Player3-Overestimator has left the chat ***
<br>",,chatLog,,,
2023-06-07 14:39:08,2023-06-07 15:00:44,0,172.56.161.93,100,1296,1,2023-06-07 15:00:45,R_24bG6IZWs6KmP73,,,,,40.6713,-73.8943,anonymous,EN,1,6364da160ffd7c90bbfce4e3,1,1,0,0,221.485,0,0,0,3.016,0,50,0,0,1.514,0,0,0,53.928,0,1,4,558,340,Region #2,15,3,0,0,13.283,0,23.778,23.778,33.264,1,0,0,25.116,0,,,,,,,,,,,0,0,15.116,0,0,0,7.736,0,3,6,6,none,,,,,,,,,,,,,,,,,Cognitive Tasks,1,,1,,1,,none,29,1,,3,7,1,1,6392NwKkvp,Study1_MoHi10,,101,R_24bG6IZWs6KmP73,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player3-Overestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br>Player4-Underestimator: I found it sort of difficult
<br>Player4-Underestimator: Thus I am now an underestimator.
<br>Player2-Underestimator: I tried to count them even though I knew there wouldn't be enough time
<br>Player4-Underestimator: All hail the estimators. 
<br>Player1-Overestimator: Same here
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player1-Overestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br> *** Player3-Overestimator has left the chat ***
<br>",,chatLog,,,
2023-06-07 14:44:19,2023-06-07 15:02:52,0,67.171.152.66,100,1112,1,2023-06-07 15:02:52,R_3noQ2RO1H6m3Vkz,,,,,45.5173,-122.6398,anonymous,EN,1,64010f6d42272367dae2526a,1,1,0,0,161.816,0,0,0,3.006,0,48,0,0,241.901,0,14.126,14.126,26.321,1,1,4,217,94,Region #1,15,3,0,0,11.083,0,11.207,11.207,23.747,1,0,0,25.008,0,2,2.959,15.201,18.533,2,,1,6,8,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To determine if people will choose an easier task for the same reward if given the opportunity. ",2,"Nobody replied or chatted. ",2,"I was the one choosing the tasks. ",1,,,40,1,,7,1,1,1,6392NwKkvp,Study1_MoHi10,,103,R_3noQ2RO1H6m3Vkz,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player4-Underestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player4-Underestimator: I just did a cursory count of how many dots were in an approximate area and multiplied it. 
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br>",,chatLog,,,
2023-06-07 14:45:44,2023-06-07 15:03:06,0,23.240.159.152,100,1041,1,2023-06-07 15:03:07,R_3DoNML1eFtkoT8d,,,,,34.2827,-118.8875,anonymous,EN,1,6111ad7c064a7c16eeb2fb77,1,1,16.913,16.913,109.421,1,0,0,3.018,0,120,0,0,40.318,0,0,0,68.832,0,1,4,645,79,Region #2,14,3,0,0,7.636,0,0,0,12.652,0,0,0,25.117,0,,,,,,,,,,,0,0,15.011,0,0,0,4.487,0,1,4,7,,,,,,,,,,,,,,,,,,How fair we believe people are in their decision making,1,,2,The time it took to convert the screen recording to a video that I would see was very fast.,1,,,14,2,,4,1,1,1,6392NwKkvp,Study1_MoHi10,,104,R_3DoNML1eFtkoT8d,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player3-Overestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br>Player1-Overestimator: HI
<br>Player1-Overestimator: Hi
<br>Player3-Overestimator: hello!
<br>Player2-Underestimator: I am always bad at stuff like this. I had no idea how many dots there were.
<br>Player4-Underestimator: Hi! It was hard to estimate
<br>Player3-Overestimator: I thought it was especially hard because we were given so little time to look at the picture
<br>Player1-Overestimator: Welcome to the group.
<br>Player2-Underestimator: I agree. All the dots were diff sizes too!
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br> *** Player3-Overestimator has left the chat ***
<br>",,chatLog,,,
2023-06-07 14:51:50,2023-06-07 15:03:18,0,128.220.159.8,100,688,1,2023-06-07 15:03:18,R_3s5iYYGV0ueucx3,,,,,39.3248,-76.6062,anonymous,EN,1,643efb16e64814cebcaf0f77,1,1,160.457,160.457,233.732,1,0,0,3.011,0,140,0,0,15.227,0,15.274,15.274,21.33,1,1,4,776,285,Region #2,17,3,0,0,13.128,0,0,0,10.829,0,0,0,25.112,0,,,,,,,,,,,,,,,0,0,4.214,0,1,4,10,,,,,,,,,,0,0,15.108,0,,,,,determine how fairly assigning tasks is perceived,1,,1,,1,,,21,1,,7,1,1,1,6392NwKkvp,Study1_MoHi10,,105,R_3s5iYYGV0ueucx3,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player2-Underestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Overestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player4-Underestimator has joined the chat ***
<br>Player4-Underestimator: I tried to count the big dots and then estimate the space from there. 
<br>Player1-Overestimator: it was too hard to count all of those dots in that short time
<br>Player2-Underestimator: i basically did 10 * 10 +50%
<br>Player3-Overestimator: i thought id have more time honestly
<br>Player2-Underestimator: guessed 140 and was an underestimator
<br>Player2-Underestimator: what did the overestimators guess
<br>Player4-Underestimator: But I underestimated.
<br>Player1-Overestimator: i said 150 for mine
<br>Player3-Overestimator: 34
<br> *** Player3-Overestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br>",,chatLog,,,
2023-06-07 14:48:03,2023-06-07 15:03:29,0,98.194.36.129,100,926,1,2023-06-07 15:03:30,R_3g0E2FXfg0Wq9TP,,,,,29.7646,-95.3657,anonymous,EN,1,6155b9c45f96867d9d9631fd,1,1,0,0,127.497,0,0,0,3.021,0,125,0,0,1.046,0,0,0,28.136,0,1,3,869,52,Region #2,17,3,8.295,8.295,9.786,1,17.928,18.422,19.114,2,0,0,25.028,0,,,,,,,,,,,,,,,0,0,6.071,0,1,6,10,No,0,0,15.02,0,,,,,,,,,,,,,Team work and contribute to the team and become one of them.,1,,1,,1,,,19,2,,7,3,1,1,6392NwKkvp,Study1_MoHi10,,104,R_3g0E2FXfg0Wq9TP,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player1-Overestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br>Player1-Overestimator: HI
<br>Player1-Overestimator: Hi
<br>Player3-Overestimator: hello!
<br>Player2-Underestimator: I am always bad at stuff like this. I had no idea how many dots there were.
<br>Player4-Underestimator: Hi! It was hard to estimate
<br>Player3-Overestimator: I thought it was especially hard because we were given so little time to look at the picture
<br>Player1-Overestimator: Welcome to the group.
<br>Player2-Underestimator: I agree. All the dots were diff sizes too!
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br> *** Player3-Overestimator has left the chat ***
<br>",,chatLog,,,
