StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific_id,Q145,match timer_First Click,match timer_Last Click,match timer_Page Submit,match timer_Click Count,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q28,get timer_First Click,get timer_Last Click,get timer_Page Submit,get timer_Click Count,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q83,Q87,Q90_1_x,Q90_1_y,Q90,Q91,attn_check,Q147_First Click,Q147_Last Click,Q147_Page Submit,Q147_Click Count,Q55_First Click,Q55_Last Click,Q55_Page Submit,Q55_Click Count,Q57_First Click,Q57_Last Click,Q57_Page Submit,Q57_Click Count,Q20,Q100_First Click,Q100_Last Click,Q100_Page Submit,Q100_Click Count,Q84,Q141,Q142,Q143_1,Q144,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,fairness(new),Q31,guesstimate(new)_1,feedback (new),Q167_First Click,Q167_Last Click,Q167_Page Submit,Q167_Click Count,Q76_First Click,Q76_Last Click,Q76_Page Submit,Q76_Click Count,Q172_First Click,Q172_Last Click,Q172_Page Submit,Q172_Click Count,Q177_First Click,Q177_Last Click,Q177_Page Submit,Q177_Click Count,Q94,Q95,Q129,Q96,Q128,desktop,desktop_4_TEXT,Q131,age,gender,gender_5_TEXT,ethnicity,pol_or,Q102,Q103,researcherID,studyID,Create New Field or Choose From Dropdown...,groupID,participantID,groupSize,numStages,roles,participantRole,timeOutLog,maxWaitTime,id,botMatch,matchAlert,participantStatus,sendData,sendStage,getStage,getData,saveData,getWaitText,freezeTime,chatLog,chatDuration,chatName,chatWindowWidth,chatWindowHeight,chatInstructions
2023-06-21 12:03:49,2023-06-21 12:09:56,IP Address,68.194.82.131,100,367,True,2023-06-21 12:09:57,R_2sX66aZqYYQof3J,,,,,40.6739,-73.9358,anonymous,EN,I consent to the study.,632890876b6124c7a15d06f6,"Yes, I understand.",0,0,333.014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,6,R_2sX66aZqYYQof3J,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:05:00,2023-06-21 12:09:57,IP Address,128.151.71.24,100,297,True,2023-06-21 12:09:57,R_2EHkrghDYH2kiBj,,,,,43.1661,-77.5555,anonymous,EN,I consent to the study.,63d13b586b230d231577a44b@email.prolific.co,"Yes, I understand.",0,0,256.633,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,6,R_2EHkrghDYH2kiBj,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:05:24,2023-06-21 12:11:36,IP Address,68.98.71.69,100,371,True,2023-06-21 12:11:37,R_3m7rMo582OrZ1yB,,,,,33.5112,-111.9078,anonymous,EN,I consent to the study.,64664088b810d4242bf8a2ca,"Yes, I understand.",0,0,321.499,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,7,R_3m7rMo582OrZ1yB,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:13:12,2023-06-21 12:18:02,IP Address,100.35.129.114,100,289,True,2023-06-21 12:18:03,R_XAoIqqYODtXT1CN,,,,,40.2459,-74.2813,anonymous,EN,I consent to the study.,6102c1985bc0272a6ac32793,"Yes, I understand.",0,0,251.719,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,8,R_XAoIqqYODtXT1CN,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player2-Republican,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:10:38,2023-06-21 12:18:04,IP Address,165.225.39.103,100,446,True,2023-06-21 12:18:05,R_1oFlgrpuwExmRgv,,,,,40.7123,-74.0068,anonymous,EN,I consent to the study.,6111ef051e899f4e467f4bf1,"Yes, I understand.",0,0,344.773,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,8,R_1oFlgrpuwExmRgv,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:17:37,2023-06-21 12:23:57,IP Address,98.198.202.191,100,379,True,2023-06-21 12:23:58,R_24eiLpgLUKleH1S,,,,,29.7912,-95.4182,anonymous,EN,I consent to the study.,5c086d3d3be61100011a694d,"Yes, I understand.",342.553,342.553,344.251,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,9,R_24eiLpgLUKleH1S,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:22:24,2023-06-21 12:24:12,IP Address,73.234.2.117,100,107,True,2023-06-21 12:24:12,R_231vKjYPWV9in4N,,,,,41.4939,-73.0517,anonymous,EN,I consent to the study.,62e027478bb6dca099c2e207,"Yes, I understand.",0,0,85.896,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,9,R_231vKjYPWV9in4N,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:20:50,2023-06-21 12:24:16,IP Address,99.76.225.192,100,206,True,2023-06-21 12:24:17,R_Q9AsnhAioeQgghz,,,,,32.7616,-117.2058,anonymous,EN,I consent to the study.,608e2cb9067eb028500433d5,"Yes, I understand.",0,0,106.681,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,9,R_Q9AsnhAioeQgghz,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player4-Republican,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:26:09,2023-06-21 12:32:12,IP Address,45.43.108.210,100,362,True,2023-06-21 12:32:12,R_31yZJ7WFxQgzMKD,,,,,35.2527,-85.163,anonymous,EN,I consent to the study.,5c06b3f64a2b7b0001c3c185,"Yes, I understand.",11.799,326.521,327.853,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,11,R_31yZJ7WFxQgzMKD,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:26:22,2023-06-21 12:32:21,IP Address,66.68.10.75,100,359,True,2023-06-21 12:32:22,R_2E4WBdnHdCUGRYY,,,,,30.5045,-97.8209,anonymous,EN,I consent to the study.,5df2f2ed4c81b2201c6c782e,"Yes, I understand.",0,0,285.437,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,11,R_2E4WBdnHdCUGRYY,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:28:10,2023-06-21 12:35:29,IP Address,47.26.189.200,100,439,True,2023-06-21 12:35:29,R_1gjNbxnpz5kILVW,,,,,45.2644,-85.2245,anonymous,EN,I consent to the study.,5b98d9362cca9c0001de161f,"Yes, I understand.",0,0,385.136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,12,R_1gjNbxnpz5kILVW,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:31:58,2023-06-21 12:35:35,IP Address,208.127.226.48,100,217,True,2023-06-21 12:35:35,R_2UgcFZ2n3ZupjLf,,,,,40.7279,-73.9966,anonymous,EN,I consent to the study.,61005133f83578f7fdcb2a59,"Yes, I understand.",166.271,168.543,183.933,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,12,R_2UgcFZ2n3ZupjLf,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:30:52,2023-06-21 12:37:18,IP Address,24.194.164.143,100,386,True,2023-06-21 12:37:18,R_21tgUhIYJGZaEAO,,,,,42.6842,-73.6434,anonymous,EN,I consent to the study.,62cec3cb41e7c7bf53ff6191,"Yes, I understand.",0,0,349.147,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,10,R_21tgUhIYJGZaEAO,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:35:32,2023-06-21 12:37:18,IP Address,108.35.99.15,100,106,True,2023-06-21 12:37:19,R_AdIu3PxXE23pWgh,,,,,40.6129,-74.416,anonymous,EN,I consent to the study.,63ac69ac461e034cde56751a,"Yes, I understand.",0,0,48.705,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,10,R_AdIu3PxXE23pWgh,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player4-Republican,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:33:58,2023-06-21 12:42:51,IP Address,100.17.20.13,100,533,True,2023-06-21 12:42:52,R_1Q4MdbT9qqxSzir,,,,,42.4881,-71.2758,anonymous,EN,I consent to the study.,5dd4070a57a7e13efe25534a,"Yes, I understand.",0,0,337.322,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,15,R_1Q4MdbT9qqxSzir,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:39:45,2023-06-21 12:42:56,IP Address,98.118.167.217,100,190,True,2023-06-21 12:42:56,R_1mlMshA1YKXuibR,,,,,42.9685,-78.7492,anonymous,EN,I consent to the study.,63d13f416b2c25038c13007f,"Yes, I understand.",0,0,132.164,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,15,R_1mlMshA1YKXuibR,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:42:37,2023-06-21 12:43:34,IP Address,68.46.116.147,100,56,True,2023-06-21 12:43:34,R_eOMlBmvngsheRoZ,,,,,45.1181,-93.3078,anonymous,EN,I consent to the study.,5e6482c9142c3c204d56baa0,"Yes, I understand.",26.214,27.354,28.555,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,16,R_eOMlBmvngsheRoZ,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:37:21,2023-06-21 12:43:40,IP Address,152.208.54.165,100,379,True,2023-06-21 12:43:41,R_2UYjn4daYqaMGUz,,,,,40.2927,-76.817,anonymous,EN,I consent to the study.,558955ebfdf99b6bd06016c9,"Yes, I understand.",0,0,357.345,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,16,R_2UYjn4daYqaMGUz,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:38:18,2023-06-21 12:45:02,IP Address,70.190.237.129,100,403,True,2023-06-21 12:45:02,R_3O7ERQIMs61oWNf,,,,,33.4475,-112.0866,anonymous,EN,I consent to the study.,63d1401242635aaffe867c4c,"Yes, I understand.",0,0,345.374,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,17,R_3O7ERQIMs61oWNf,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:43:20,2023-06-21 12:45:04,IP Address,135.26.211.98,100,103,True,2023-06-21 12:45:04,R_24voeM7uj0bw62m,,,,,39.4796,-88.3755,anonymous,EN,I consent to the study.,5fee99daeae54318b087e9b5,"Yes, I understand.",74.082,74.082,74.482,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,17,R_24voeM7uj0bw62m,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:41:02,2023-06-21 12:47:11,IP Address,75.182.255.242,100,369,True,2023-06-21 12:47:12,R_1LnEVvHsWzXxW0w,,,,,36.1219,-79.7777,anonymous,EN,I consent to the study.,5ee3fbb98976fc0f59fe2939,"Yes, I understand.",334.585,334.585,334.825,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,18,R_1LnEVvHsWzXxW0w,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:44:59,2023-06-21 12:47:18,IP Address,73.213.49.181,100,139,True,2023-06-21 12:47:19,R_1mXIynEP9RXGNdj,,,,,39.1723,-77.183,anonymous,EN,I consent to the study.,63d2f3294efc674f84b302d2,"Yes, I understand.",0,0,81.774,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,18,R_1mXIynEP9RXGNdj,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:37:41,2023-06-21 12:47:36,IP Address,104.62.54.67,100,594,True,2023-06-21 12:47:36,R_3fdDgCR8zaBffOV,,,,,26.3796,-80.1029,anonymous,EN,I consent to the study.,6400dd2b5b4a2803b2fce1dc,"Yes, I understand.",0,0,39.9,0,0,0,3.007,0,60,0,0,29.066,0,0,0,22.333,0,IM_3KUo7iTc8Zjnk46,has its most valuable achievements in medical applications.,414,48,Region #1,Disagree,"Somewhat 
Disagree
3
",0,0,7.021,0,0,0,12.077,0,0,0,25.118,0,,,,,,,,,,,,,,,Yes,Neither Fairly or Unfairly,9,,,,,,0,0,45.006,0,,,,,,,,,Don't know,Yes,,Yes,,On a desktop or laptop computer,,,23,Man,,"Hispanic, Latino or Spanish Origin",Very Conservative,I DO give my consent for you to use my data.,I agree with this statement,6392NwKkvp,Study2_MoHiPilot1,,13,R_3fdDgCR8zaBffOV,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player2-Republican,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player4-Republican: Hi
<br>Player2-Republican: hello
<br>Player3-Democrat: Hello!
<br>Player1-Democrat: hello
<br>Player1-Democrat: that was sort of an annoying task
<br>Player3-Democrat: I wish we had more time to count
<br>Player2-Republican: eh i didn't mind it 
<br>Player4-Republican: Not really, I see it to be very interesting
<br>Player1-Democrat: yeah we only had like a few seconds
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>",,chatLog,,,
2023-06-21 12:38:30,2023-06-21 12:48:47,IP Address,73.193.197.140,100,617,True,2023-06-21 12:48:48,R_12hBQwupmLQV13n,,,,,40.0305,-74.9528,anonymous,EN,I consent to the study.,63b18d94775ad4aad221103c,"Yes, I understand.",0,0,8.382,0,2.54,2.54,3.015,1,60,0,0,0.304,0,7.129,7.129,24.678,1,IM_3KUo7iTc8Zjnk46,has its most valuable achievements in medical applications.,873,49,Region #2,Agree,"Somewhat 
Disagree
3
",0,0,7.041,0,12.786,12.786,13.23,1,0,0,25.022,0,,,,,,,,,,,,,,,Yes,Fairly,10,no,,,,,,,,,0,0,45.074,0,,,,,To find out how people make their decisions,Yes,,Yes,,On a desktop or laptop computer,,no,56,Prefer not to say,,White,Liberal,I DO give my consent for you to use my data.,I agree with this statement,6392NwKkvp,Study2_MoHiPilot1,,13,R_12hBQwupmLQV13n,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player4-Republican,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player4-Republican: Hi
<br>Player2-Republican: hello
<br>Player3-Democrat: Hello!
<br>Player1-Democrat: hello
<br>Player1-Democrat: that was sort of an annoying task
<br>Player3-Democrat: I wish we had more time to count
<br>Player2-Republican: eh i didn't mind it 
<br>Player4-Republican: Not really, I see it to be very interesting
<br>Player1-Democrat: yeah we only had like a few seconds
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: yes
<br>",,chatLog,,,
2023-06-21 12:43:05,2023-06-21 12:49:11,IP Address,152.1.20.202,100,366,True,2023-06-21 12:49:11,R_1hKfR4ZlUCJzKAG,,,,,35.9825,-78.5376,anonymous,EN,I consent to the study.,610414b7a275aba12c4bf8b0610414b,"Yes, I understand.",334.408,334.408,334.735,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,19,R_1hKfR4ZlUCJzKAG,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:35:15,2023-06-21 12:49:14,IP Address,47.42.116.6,100,839,True,2023-06-21 12:49:14,R_2CwzejNTLiXA9wy,,,,,32.7254,-97.3208,anonymous,EN,I consent to the study.,60aee0858e96f753f593b729,"Yes, I understand.",0,0,167.301,0,0,0,3.11,0,78,0,0,32.51,0,2.293,14.63,35.71,2,IM_3KUo7iTc8Zjnk46,expands the boundaries of our knowledge of medicine.,103,345,Region #1,Slightly Disagree,"Somewhat 
Disagree
3
",0,0,9.788,0,20.197,20.197,24.822,1,0,0,25.115,0,,,,,,,,,,,0,0,15.106,0,Yes,Somewhat Unfairly,10,none,,,,,,,,,,,,,,,,,To see how we would judge if we were to be given a choice or had no choice in someone making a decision,Yes,,Yes,,On a desktop or laptop computer,,None,26,Woman,,"Hispanic, Latino or Spanish Origin",Very Liberal,I DO give my consent for you to use my data.,I agree with this statement,6392NwKkvp,Study2_MoHiPilot1,,13,R_2CwzejNTLiXA9wy,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player4-Republican: Hi
<br>Player2-Republican: hello
<br>Player3-Democrat: Hello!
<br>Player1-Democrat: hello
<br>Player1-Democrat: that was sort of an annoying task
<br>Player3-Democrat: I wish we had more time to count
<br>Player2-Republican: eh i didn't mind it 
<br>Player4-Republican: Not really, I see it to be very interesting
<br>Player1-Democrat: yeah we only had like a few seconds
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>",,chatLog,,,
2023-06-21 12:45:55,2023-06-21 12:49:14,IP Address,76.149.162.30,100,199,True,2023-06-21 12:49:15,R_1I4uBvhHmkRUbjb,,,,,40.6124,-111.8832,anonymous,EN,I consent to the study.,5e373f33a42bce6daa55ea65,"Yes, I understand.",0,0,155.071,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,19,R_1I4uBvhHmkRUbjb,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:47:30,2023-06-21 12:49:32,IP Address,68.200.21.162,100,121,True,2023-06-21 12:49:32,R_1mLD2UQWwjhejCN,,,,,28.87,-82.3468,anonymous,EN,I consent to the study.,60e36e6ecb9f00e7b4dab92e,"Yes, I understand.",0,0,61.941,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,19,R_1mLD2UQWwjhejCN,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player4-Republican,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
2023-06-21 12:38:05,2023-06-21 12:51:05,IP Address,128.84.125.50,100,780,True,2023-06-21 12:51:06,R_0MJZCgOsXaqnp73,,,,,42.4444,-76.4926,anonymous,EN,I consent to the study.,5fc98fe1b105424d4b03381b,"Yes, I understand.",0,0,27.469,0,0,0,3.02,0,200,0,0,44.796,0,0,0,21.335,0,IM_3KUo7iTc8Zjnk46,has its most valuable achievements in medical applications.,535,327,Region #2,Slightly Disagree,"Somewhat 
Disagree
3
",0,0,8.689,0,0,0,13.571,0,0,0,25.117,0,,,,,,,,,,,,,,,Maybe,Neither Fairly or Unfairly,9,nope,,,,,0,0,45.019,0,,,,,,,,,It has something to do with how I think Republicans behave,No,"Because I've seen researchers do this sort of thing before, and they really overuse the whole deception thing. It's kind of annoying",No,Because I didn't believe I was working with other participants.,On a desktop or laptop computer,,"I think the names of participants (i.e. ""Democrat/Republican"") were not random and had something to do with the purpose of the experiment.",41,Woman,,White,Liberal,I DO give my consent for you to use my data.,I agree with this statement,6392NwKkvp,Study2_MoHiPilot1,,13,R_0MJZCgOsXaqnp73,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player4-Republican: Hi
<br>Player2-Republican: hello
<br>Player3-Democrat: Hello!
<br>Player1-Democrat: hello
<br>Player1-Democrat: that was sort of an annoying task
<br>Player3-Democrat: I wish we had more time to count
<br>Player2-Republican: eh i didn't mind it 
<br>Player4-Republican: Not really, I see it to be very interesting
<br>Player1-Democrat: yeah we only had like a few seconds
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>",,chatLog,,,
2023-06-21 12:47:58,2023-06-21 12:52:19,IP Address,172.56.53.149,100,261,True,2023-06-21 12:52:20,R_25N2YU3FpFSavvy,,,,,29.7738,-95.406,anonymous,EN,I consent to the study.,5c8fa5789eb5720017f03079,"Yes, I understand.",0,0,70.245,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot1,,22,R_25N2YU3FpFSavvy,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player2-Republican,No available participant -- Survey terminated,300,,no,yes,,,,,,,,,,,,,,
