participantRole,condition,fairness.new.,Q31,guesstimate.new._1,feedback..new.,Q94,Q95,Q129,Q96,Q128,Q131,timeOutLog,chatLog
Player1-Overestimator,1,1,4,10,NA,To see if I would pick the easy task and if it was in line with my previous decision,1,NA,1,NA,NA,OK -- no issues," *** Player1-Overestimator has joined the chat ***
<br> *** Player4-Underestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player2-Underestimator: hi
<br>Player3-Overestimator: yeah so I guessed for more dots i guess
<br>Player4-Underestimator: hi
<br>Player1-Overestimator: i also guessed
<br>Player1-Overestimator: more dots
<br>Player2-Underestimator: lol i thought it was 40
<br>Player4-Underestimator: i guessed like 60
<br>Player3-Overestimator: I said 42
<br>Player1-Overestimator: i thought it was 60
<br>Player3-Overestimator: hahaha
<br>Player2-Underestimator: WTF i was way off
<br>Player1-Overestimator: so it was 50
<br>Player3-Overestimator: the big dots and little dots confused me
<br>Player2-Underestimator: yessss
<br>Player2-Underestimator: no same
<br>Player1-Overestimator: 42 = magic number bit smart
<br>Player3-Overestimator: what did the undekresitmators say 
<br>Player2-Underestimator: idk why i tried to count but i don't think that's the point of the game
<br>Player2-Underestimator: i said 40
<br>Player4-Underestimator: wait i said 60 and it said i was under
<br>Player1-Overestimator: wtf
<br>Player2-Underestimator: wait whatttt
<br>Player1-Overestimator: o shit
<br>Player3-Overestimator: oop
<br>Player1-Overestimator: we just got dooped
<br>Player2-Underestimator: ayo ?
<br>Player2-Underestimator: LMAO
<br>Player3-Overestimator: yeah what's going on 
<br>Player3-Overestimator: im dead 
<br>Player1-Overestimator: dam
<br>Player2-Underestimator: they're lying.
<br>Player1-Overestimator: its rlly like that
<br>Player2-Underestimator: HAHSAHASA
<br>Player4-Underestimator: lab rat era
<br>Player2-Underestimator: LMFAO
<br>Player2-Underestimator: all mind games
<br>Player3-Overestimator: us all trying to get our last credits 
<br>Player1-Overestimator: i feel 3/16 stupid rn
<br>Player4-Underestimator: literally
<br>Player2-Underestimator: AHSDFHAHSD SAME
<br>Player3-Overestimator: hahahahaha
<br>Player2-Underestimator: i need .5 more xDDD
<br>Player1-Overestimator: same
<br>Player1-Overestimator: im cucked
<br>Player3-Overestimator: I gotta right the essay
<br> *** Player1-Overestimator has left the chat ***
<br> *** Player4-Underestimator has left the chat ***
<br>Player2-Underestimator: nah u got this 
<br>"
Player2-Underestimator,3,2,7,10,I think it's experimenter-blind but the participant can choose the assignment themselves which can introduce other biases,Maybe how we would react when someone else made the decision we saw on video? After we interacted with everyone during the chat perhaps we might feel betrayed that the user picked the green task.,1,NA,2,"I believe the chat was real because we talked about real things like participation credits and things we had to do in school. (someone had to write an essay etc.). However, I don't believe the screen recording was real (it was probably pre-set). This is because we never got a warning about a screen recording at the beginning of the survey (I feel like we would've needed to install something to have our screen recorded and set that up beforehand).",I said picking the green task was super fair because they just want what's best for them and I would want the same for myself too haha!!,OK -- no issues," *** Player1-Overestimator has joined the chat ***
<br> *** Player4-Underestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player2-Underestimator: hi
<br>Player3-Overestimator: yeah so I guessed for more dots i guess
<br>Player4-Underestimator: hi
<br>Player1-Overestimator: i also guessed
<br>Player1-Overestimator: more dots
<br>Player2-Underestimator: lol i thought it was 40
<br>Player4-Underestimator: i guessed like 60
<br>Player3-Overestimator: I said 42
<br>Player1-Overestimator: i thought it was 60
<br>Player3-Overestimator: hahaha
<br>Player2-Underestimator: WTF i was way off
<br>Player1-Overestimator: so it was 50
<br>Player3-Overestimator: the big dots and little dots confused me
<br>Player2-Underestimator: yessss
<br>Player2-Underestimator: no same
<br>Player1-Overestimator: 42 = magic number bit smart
<br>Player3-Overestimator: what did the undekresitmators say 
<br>Player2-Underestimator: idk why i tried to count but i don't think that's the point of the game
<br>Player2-Underestimator: i said 40
<br>Player4-Underestimator: wait i said 60 and it said i was under
<br>Player1-Overestimator: wtf
<br>Player2-Underestimator: wait whatttt
<br>Player1-Overestimator: o shit
<br>Player3-Overestimator: oop
<br>Player1-Overestimator: we just got dooped
<br>Player2-Underestimator: ayo ?
<br>Player2-Underestimator: LMAO
<br>Player3-Overestimator: yeah what's going on 
<br>Player3-Overestimator: im dead 
<br>Player1-Overestimator: dam
<br>Player2-Underestimator: they're lying.
<br>Player1-Overestimator: its rlly like that
<br>Player2-Underestimator: HAHSAHASA
<br>Player4-Underestimator: lab rat era
<br>Player2-Underestimator: LMFAO
<br>Player2-Underestimator: all mind games
<br>Player3-Overestimator: us all trying to get our last credits 
<br>Player1-Overestimator: i feel 3/16 stupid rn
<br>Player4-Underestimator: literally
<br>Player2-Underestimator: AHSDFHAHSD SAME
<br>Player3-Overestimator: hahahahaha
<br>Player2-Underestimator: i need .5 more xDDD
<br>Player1-Overestimator: same
<br>Player1-Overestimator: im cucked
<br>Player3-Overestimator: I gotta right the essay
<br> *** Player1-Overestimator has left the chat ***
<br> *** Player4-Underestimator has left the chat ***
<br>Player2-Underestimator: nah u got this 
<br> *** Player3-Overestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br>"
Player4-Underestimator,4,2,4,7,NA,To explore how people with different ways of thinking perceives the surroundings,1,NA,2,I thought it was an instruction or something,NA,OK -- no issues," *** Player3-Overestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player3-Overestimator: It looked like a lot of dots
<br>Player1-Overestimator: Yeah it did
<br>Player1-Overestimator: lol
<br>Player2-Underestimator: i guessed 99 loll
<br>Player1-Overestimator: I guessed 140
<br>Player1-Overestimator: so it must be in between
<br>Player4-Underestimator: i guessed 50...
<br>Player3-Overestimator: I guessed 55
<br>Player1-Overestimator: Did we have the same picture?
<br>Player3-Overestimator: How could you underestimate but I overestimated
<br>Player4-Underestimator: maybe its not the same image
<br>Player1-Overestimator: Yeah that doesnt make sense unless we had different pictures
<br>Player3-Overestimator: Or the designation is random
<br>Player1-Overestimator: Maybe
<br> *** Player3-Overestimator has left the chat ***
<br> *** Player1-Overestimator has left the chat ***
<br> *** Player4-Underestimator has left the chat ***
<br>"
Player1-Overestimator,3,2,4,8,NA,"I honestly have no idea, at first i thought it could be about group conformity but with the assigning tasks thing I was wondering if it would be about fairness?",1,NA,2,I just didn't think that a person would choose that fast and upload a screen recording that fast.,NA,OK -- no issues," *** Player3-Overestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player3-Overestimator: It looked like a lot of dots
<br>Player1-Overestimator: Yeah it did
<br>Player1-Overestimator: lol
<br>Player2-Underestimator: i guessed 99 loll
<br>Player1-Overestimator: I guessed 140
<br>Player1-Overestimator: so it must be in between
<br>Player4-Underestimator: i guessed 50...
<br>Player3-Overestimator: I guessed 55
<br>Player1-Overestimator: Did we have the same picture?
<br>Player3-Overestimator: How could you underestimate but I overestimated
<br>Player4-Underestimator: maybe its not the same image
<br>Player1-Overestimator: Yeah that doesnt make sense unless we had different pictures
<br>Player3-Overestimator: Or the designation is random
<br>Player1-Overestimator: Maybe
<br> *** Player3-Overestimator has left the chat ***
<br> *** Player1-Overestimator has left the chat ***
<br> *** Player4-Underestimator has left the chat ***
<br>"
Player2-Underestimator,2,1,5,7,NA,Logical Guesses,1,NA,1,NA,NA,OK -- no issues," *** Player3-Overestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player3-Overestimator: It looked like a lot of dots
<br>Player1-Overestimator: Yeah it did
<br>Player1-Overestimator: lol
<br>Player2-Underestimator: i guessed 99 loll
<br>Player1-Overestimator: I guessed 140
<br>Player1-Overestimator: so it must be in between
<br>Player4-Underestimator: i guessed 50...
<br>Player3-Overestimator: I guessed 55
<br>Player1-Overestimator: Did we have the same picture?
<br>Player3-Overestimator: How could you underestimate but I overestimated
<br>Player4-Underestimator: maybe its not the same image
<br>Player1-Overestimator: Yeah that doesnt make sense unless we had different pictures
<br>Player3-Overestimator: Or the designation is random
<br>Player1-Overestimator: Maybe
<br> *** Player3-Overestimator has left the chat ***
<br> *** Player1-Overestimator has left the chat ***
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br>"
Player3-Overestimator,1,1,4,8,NA,Not sure,1,NA,2,Seemed like something prerecorded by the researcher to affect my feelings on the study,NA,OK -- no issues," *** Player3-Overestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player3-Overestimator: It looked like a lot of dots
<br>Player1-Overestimator: Yeah it did
<br>Player1-Overestimator: lol
<br>Player2-Underestimator: i guessed 99 loll
<br>Player1-Overestimator: I guessed 140
<br>Player1-Overestimator: so it must be in between
<br>Player4-Underestimator: i guessed 50...
<br>Player3-Overestimator: I guessed 55
<br>Player1-Overestimator: Did we have the same picture?
<br>Player3-Overestimator: How could you underestimate but I overestimated
<br>Player4-Underestimator: maybe its not the same image
<br>Player1-Overestimator: Yeah that doesnt make sense unless we had different pictures
<br>Player3-Overestimator: Or the designation is random
<br>Player1-Overestimator: Maybe
<br> *** Player3-Overestimator has left the chat ***
<br> *** Player1-Overestimator has left the chat ***
<br> *** Player4-Underestimator has left the chat ***
<br>"
Player4-Underestimator,4,1,3,10,NA,To test the morality of individuals,1,NA,1,NA,"No, thank you!",*** Warning: Participant Player2-Underestimator timed out in stage 1. Survey terminated.," *** Player4-Underestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br>Player3-Overestimator: How do you guys feel about being overestimators 
<br>Player4-Underestimator: I am an underestimator actually 
<br>Player4-Underestimator: I don't know how I feel about it
<br>Player3-Overestimator: Interesting
<br> *** Player4-Underestimator has left the chat ***
<br>"
Player3-Overestimator,1,1,7,8,NA,To see if when people are put into certain groups if they will act differently or not,1,NA,1,NA,NA,*** Warning: Participant Player2-Underestimator timed out in stage 1. Survey terminated.," *** Player4-Underestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br>Player3-Overestimator: How do you guys feel about being overestimators 
<br>Player4-Underestimator: I am an underestimator actually 
<br>Player4-Underestimator: I don't know how I feel about it
<br>Player3-Overestimator: Interesting
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player3-Overestimator has left the chat ***
<br>"
Player3-Overestimator,3,1,4,10,NA,decision making,2,they were boring,2,boring as well,NA,OK -- no issues," *** Player2-Underestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br> *** Player4-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br>Player3-Overestimator: yooooo who else overestimated
<br>Player4-Underestimator: not mee
<br>Player2-Underestimator: i underestimated
<br>Player3-Overestimator: i put 60
<br>Player1-Overestimator: meee
<br>Player2-Underestimator: i thought there were 23
<br>Player3-Overestimator: what numbers did you guys put
<br>Player1-Overestimator: 52
<br>Player4-Underestimator: I put 40
<br>Player3-Overestimator: maybe it was 50 or 45?
<br> *** Player2-Underestimator has left the chat ***
<br> *** Player3-Overestimator has left the chat ***
<br>"
Player4-Underestimator,2,1,4,NA,NA,NA,1,NA,1,NA,NA,OK -- no issues," *** Player2-Underestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br> *** Player4-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br>Player3-Overestimator: yooooo who else overestimated
<br>Player4-Underestimator: not mee
<br>Player2-Underestimator: i underestimated
<br>Player3-Overestimator: i put 60
<br>Player1-Overestimator: meee
<br>Player2-Underestimator: i thought there were 23
<br>Player3-Overestimator: what numbers did you guys put
<br>Player1-Overestimator: 52
<br>Player4-Underestimator: I put 40
<br>Player3-Overestimator: maybe it was 50 or 45?
<br> *** Player2-Underestimator has left the chat ***
<br> *** Player3-Overestimator has left the chat ***
<br> *** Player4-Underestimator has left the chat ***
<br>"
Player2-Underestimator,4,1,3,9,I think the text color might also influence the participants choice,To see whether participants would fairly assign themselves a task,1,NA,1,NA,No,OK -- no issues," *** Player2-Underestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br> *** Player4-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br>Player3-Overestimator: yooooo who else overestimated
<br>Player4-Underestimator: not mee
<br>Player2-Underestimator: i underestimated
<br>Player3-Overestimator: i put 60
<br>Player1-Overestimator: meee
<br>Player2-Underestimator: i thought there were 23
<br>Player3-Overestimator: what numbers did you guys put
<br>Player1-Overestimator: 52
<br>Player4-Underestimator: I put 40
<br>Player3-Overestimator: maybe it was 50 or 45?
<br> *** Player2-Underestimator has left the chat ***
<br> *** Player3-Overestimator has left the chat ***
<br> *** Player4-Underestimator has left the chat ***
<br>"
